,name,latitude,longitude,country,state
396,Fregenal de la Sierra,38.1663968,-6.6525749,ES,Extremadura
397,Zorita,39.2841602,-5.6989098,ES,Extremadura
398,Alcázar de San Juan,39.3899806,-3.2101376,ES,Castile-La Mancha
399,Villarrobledo,39.2681742,-2.6042132,ES,Castile-La Mancha
400,Monesterio,38.0876314,-6.2732538,ES,Extremadura
401,Belmonte,39.5592831,-2.7038117,ES,Castile-La Mancha
402,Alcuéscar,39.1801212,-6.2284451,ES,Extremadura
403,Alconchel,38.5167174,-7.0709841,ES,Extremadura
404,Alcázar del Rey,40.0624404,-2.8073809,ES,Castile-La Mancha
405,El Robledo,39.2176173,-4.2811191,ES,Castile-La Mancha
406,Castuera,38.7217584,-5.5472366,ES,Extremadura
407,Puerto Rey,39.4473499,-5.020446,ES,Castile-La Mancha
408,Olivenza,38.6196766,-7.1341344109916776,ES,Extremadura
409,Zafra,38.4253489,-6.4193627,ES,Extremadura
410,Badajoz,38.88964355,-6.980142450723942,ES,Extremadura
411,Villanueva de los Infantes,41.7032195,-4.4831772,ES,Castile and León
412,Almadén,38.7742489,-4.832835,ES,Castile-La Mancha
413,Guadalupe,39.4520332,-5.3273801,ES,Extremadura
414,Villares del Saz,39.8405925,-2.5052703,ES,Castile-La Mancha
415,Peraleda del Zaucejo,38.4741788,-5.5645445,ES,Extremadura
416,Barcarrota,38.5159459,-6.8492865,ES,Extremadura
417,Navalvillar de Pela,39.0916315,-5.4681268,ES,Extremadura
418,Abenójar,38.8794942,-4.3557024,ES,Castile-La Mancha
419,Alburquerque,39.2190169,-6.9999295,ES,Extremadura
420,Ossa de Montiel,38.9625266,-2.7453748,ES,Castile-La Mancha
421,Valsequillo,38.4049294,-5.3517078,ES,Andalusia
422,Cañamero,39.3801055,-5.3892464,ES,Extremadura
423,Villafranca de los Barros,38.5613352,-6.3392388,ES,Extremadura
424,Aroche,37.9436167,-6.9539589,ES,Andalusia
425,Osa de la Vega,39.6611803,-2.7600609,ES,Castile-La Mancha
426,Villanueva del Fresno,38.3753938,-7.1656367,ES,Extremadura
427,Abia de la Obispalía,40.0186019,-2.394852,ES,Castile-La Mancha
428,Puebla de Obando,39.1768491,-6.6260009,ES,Extremadura
429,Fuente de Cantos,38.2461377,-6.3074274,ES,Extremadura
