nombre_id,nombre
308,"SAN BARTOLOME TIRAJANA, LAS TIRAJANAS"
309,"SAN BARTOLOME TIRAJANA, EL MATORRAL"
310,BERGA
311,"LAS PALMAS DE GRAN CANARIA, TAFIRA"
312,REUS (CENTRE LECTURA)
313,PONTONS
314,VALVERDE
315,AGÜIMES
316,LA ALDEA DE SAN NICOLÁS
317,VEGA DE SAN MATEO
318,ALFORJA
319,"LA ALDEA DE SAN NICOLÁS, TASARTE"
320,"MASPALOMAS, C. INSULAR TURISMO "
321,"SAN BARTOLOME TIRAJANA, LOMOS PEDRO AFONSO"
322,VILAFRANCA DEL PENEDÈS
323,TARRAGONA 
324,AGAETE
325,PRATS DE LLUÇANÈS
326,"SAN BARTOLOME TIRAJANA, CUEVAS DEL PINAR"
327,"EL PINAR, DEPÓSITO"
328,LA VICTORIA DE ACENTEJO
329,ARUCAS
330,"SAN ANDRÉS, VALVERDE"
331,"TEJEDA, CRUZ DE TEJEDA"
332,AGAETE - SUERTE ALTA
333,SITGES
334,CANDELARIA
335,ANAGA 
336,VALLESECO
337,ESPOLLA
338,AMOREBIETA-ETXANO
339,CALDES DE MONTBUI
340,"OROZKO, IBARRA"
341,IGUALADA
342,"ERRENTERIA, AÑARBE"
343,AMURRIO
344,ESPOLLA 'LES ALBERES'
345,VILASSAR DE DALT
346,"LOS TOJOS, BÁRCENA MAYOR"
347,SANT PAU DE SEGÚRIES
348,BLANES
349,"ARAMAIO, ETXAGUEN"
350,TONA
351,BERA
352,ARETXABALETA
353,LEGAZPI
354,CAMPDEVANOL
355,IRUN
356,FIGUERES
357,VILLACARRIEDO
358,"ABADIÑO, URKIOLA"
359,CABO DE CREUS
360,"CORBERA, PIC D'AGULLES"
361,FORUA
362,"BEASAIN, ARRIARAN"
363,AZPEITIA
364,GIRONA
365,LES PLANES D'HOSTOLES
366,FOGARS DE MONTCLÚS
367,"BARCENA DE CICERO, TRETO"
368,LA BISBAL (D'EMPORDA 3)
369,MONTSERRAT
370,"CAMALEÑO, FUENTE DE"
371,MONISTROL DE MONTSERRAT
372,MAÇANET DE CABRENYS
373,CASTELLÓ D'EMPÚRIES
374,"TORRELAVEGA, SIERRAPANDO"
375,"CASTELL, PLATJA D'ARO "
376,SANT HILARI
